"Freq"	"Normalized_Count"	"Log_Count"	"gene_name"
"ENSMUSG00000044783.16"	88	2025.66487984967	10.9848918356526	"Hjurp"
"ENSMUSG00000097971.3"	41	5422.27081231189	12.4049474981324	"Gm26917"
"ENSMUSG00000101795.2"	26	439.496933753099	8.78298816652633	"Gm5835"
"ENSMUSG00000082454.3"	18	478.382464928785	8.90503332816737	"Gm12183"
"ENSMUSG00000082536.1"	16	2504.95165945696	11.2911428695795	"Gm13456"
"ENSMUSG00000095761.6"	15	293.902270513904	8.20409311982625	"Ighv1-20"
"ENSMUSG00000000751.13"	14	3562.99983330702	11.7992815540452	"Rpa1"
"ENSMUSG00000082575.1"	13	148.307607274708	7.22214386293574	"Gm13050"
"ENSMUSG00000094930.2"	13	412.367493397969	8.69128113161632	"Igkv6-25"
"ENSMUSG00000095197.6"	12	113.03933481304	6.83338771900427	"Ighv1-59"
