"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000000686.11"	3	84.3925183187977	6.41603776827875
"ENSMUSG00000000751.13"	14	3586.03285533107	11.8085752443445
"ENSMUSG00000001018.15"	1	662.156682193644	9.37320596194998
"ENSMUSG00000001525.10"	1	14671.3147231141	13.8408088699286
"ENSMUSG00000001983.7"	4	197.348658222419	7.6318948278306
"ENSMUSG00000002033.14"	2	10263.4285740015	13.3253656936593
"ENSMUSG00000003033.15"	1	1828.07178142873	10.8368959790375
"ENSMUSG00000004568.13"	1	7048.72279927312	12.7833508153684
"ENSMUSG00000004980.16"	1	16165.7114705746	13.9807386243726
"ENSMUSG00000005087.17"	1	284.337869412565	8.1565274207045
"ENSMUSG00000005506.16"	1	4433.85307782607	12.1146705949601
"ENSMUSG00000005610.17"	1	20921.5544644478	14.3527713825783
"ENSMUSG00000006304.14"	2	8771.62851941227	13.0987934629932
"ENSMUSG00000006699.17"	1	9097.5134747664	13.1514151401089
"ENSMUSG00000008475.13"	1	6461.87021034856	12.6579593038554
"ENSMUSG00000009585.18"	1	3308.18671809687	11.692260981472
"ENSMUSG00000009687.14"	3	8434.05844613708	13.042182349578
"ENSMUSG00000014496.8"	3	949.091244477556	9.89192226283303
"ENSMUSG00000015165.16"	3	5910.07297518719	12.5292043161612
"ENSMUSG00000015355.13"	2	3600.31466612348	11.8143079456795
"ENSMUSG00000015749.12"	1	2569.42759619847	11.3277926594904
"ENSMUSG00000015937.15"	1	3358.82222908815	11.7141691855239
"ENSMUSG00000016481.15"	3	1824.17674212171	10.8338204596883
"ENSMUSG00000016831.12"	2	1796.91146697255	10.8121062658569
"ENSMUSG00000018171.9"	3	862.102033287411	9.75338731026409
"ENSMUSG00000018974.7"	2	1100.99777745139	10.105905598895
"ENSMUSG00000019254.16"	1	1846.24863152816	10.8511623444486
"ENSMUSG00000019731.13"	4	1387.9323397353	10.4397606064394
"ENSMUSG00000019818.15"	1	8027.67601177118	12.9709463809054
"ENSMUSG00000019996.17"	1	377.818812781079	8.56536416902881
"ENSMUSG00000020647.10"	2	760.831011304854	9.57332720561653
"ENSMUSG00000021189.11"	1	830.941718831239	9.70033865456148
"ENSMUSG00000021242.9"	1	8470.41214633595	13.0483867650463
"ENSMUSG00000021482.10"	2	937.406126556492	9.87406862207104
"ENSMUSG00000021665.9"	1	710.195500313575	9.47410238613613
"ENSMUSG00000021820.18"	1	1206.16383874097	10.2374057795604
"ENSMUSG00000021840.17"	1	1226.93738171175	10.2620212774571
"ENSMUSG00000021911.16"	1	1203.56714586962	10.2342991002502
"ENSMUSG00000022283.15"	2	32728.7169504654	14.9983135054297
"ENSMUSG00000022336.3"	2	8671.65584386539	13.0822581450111
"ENSMUSG00000022401.12"	1	286.934562283912	8.1695971632639
"ENSMUSG00000022450.6"	1	1530.75044765942	10.5809655576101
"ENSMUSG00000022607.18"	1	84.3925183187977	6.41603776827875
"ENSMUSG00000022710.17"	1	5373.85589725391	12.3920103604611
"ENSMUSG00000023764.18"	3	764.726050611875	9.58068452955677
"ENSMUSG00000023795.16"	2	66.2156682193644	6.07072566461134
"ENSMUSG00000023927.15"	1	10480.252428759	13.3555234976464
"ENSMUSG00000024014.8"	1	2115.00634371264	11.0471282372695
"ENSMUSG00000024030.7"	1	1494.39674746056	10.5463125849093
"ENSMUSG00000024063.13"	3	6683.88745084878	12.7066875554565
"ENSMUSG00000024308.15"	2	4989.54535229446	12.2849817623611
"ENSMUSG00000024576.14"	1	5959.41013974279	12.54119589156
"ENSMUSG00000024759.14"	1	2269.50956955782	11.1488004019901
"ENSMUSG00000024767.11"	3	949.091244477556	9.89192226283303
"ENSMUSG00000024942.17"	1	2740.80932570742	11.4209125295862
"ENSMUSG00000025026.15"	3	8727.48474059936	13.0915155093116
"ENSMUSG00000025036.7"	4	350.553537631929	8.45760060195877
"ENSMUSG00000025217.15"	1	229.807319114265	7.85054516368199
"ENSMUSG00000025239.3"	1	2429.2061811457	11.2468630033894
"ENSMUSG00000025266.11"	5	991.936676854792	9.95555790460737
"ENSMUSG00000025366.8"	1	8032.86939751387	12.9718792930842
"ENSMUSG00000026110.15"	1	618.012903380734	9.27382567263813
"ENSMUSG00000026608.13"	1	324.586608918453	8.34689755386222
"ENSMUSG00000027104.18"	2	1073.73250230224	10.0697619066862
"ENSMUSG00000027109.16"	1	4033.96237563853	11.9783395056911
"ENSMUSG00000027242.14"	1	314.199837433062	8.30012298048724
"ENSMUSG00000027248.13"	1	6167.1455694506	12.590621098204
"ENSMUSG00000027427.13"	3	686.825264471446	9.42589829816379
"ENSMUSG00000027522.15"	1	2220.17240500222	11.1171056623234
"ENSMUSG00000027678.17"	1	3199.12561750027	11.6439128223334
"ENSMUSG00000027852.14"	1	2522.68712451422	11.3013173471652
"ENSMUSG00000027901.12"	1	5903.58124300882	12.5276190309811
"ENSMUSG00000027939.11"	1	42.8454323772358	5.45435465181186
"ENSMUSG00000028080.16"	1	1398.31911122069	10.4505092876775
"ENSMUSG00000028132.15"	1	2.59669287134762	1.84667097017625
"ENSMUSG00000028149.12"	1	2457.76980273053	11.2637209565603
"ENSMUSG00000028581.17"	2	20825.4768282079	14.346131181848
"ENSMUSG00000028790.13"	1	4657.16866476196	12.1855471628133
"ENSMUSG00000028796.17"	1	1687.85036637595	10.7218257944175
"ENSMUSG00000028974.13"	1	669.946760807687	9.39005448382167
"ENSMUSG00000029076.14"	1	3901.5310391998	11.9301943915409
"ENSMUSG00000029580.14"	4	55377.0721743594	15.7570272109195
"ENSMUSG00000029635.15"	11	556.990620904065	9.12409706220748
"ENSMUSG00000029836.15"	1	895.85904061493	9.80873744427697
"ENSMUSG00000030255.13"	1	3.89503930702143	2.29132044467416
"ENSMUSG00000031029.6"	3	8241.90317365735	13.0089368328193
"ENSMUSG00000031221.7"	1	1754.06603459532	10.7773095978078
"ENSMUSG00000031242.7"	1	593.344321102932	9.21515515855978
"ENSMUSG00000031513.8"	1	3504.23702988362	11.7752962896042
"ENSMUSG00000031627.9"	1	1643.70658756305	10.6836145176051
"ENSMUSG00000031754.10"	1	959.478015962947	9.90760878271373
"ENSMUSG00000032202.11"	1	1526.8554083524	10.5772923021697
"ENSMUSG00000032410.13"	1	2038.40390400788	10.9939318141129
"ENSMUSG00000032688.9"	1	3735.34269543356	11.8674110690267
"ENSMUSG00000032712.16"	2	3366.61230770219	11.7175103441027
"ENSMUSG00000033685.13"	1	7423.94491918285	12.8581646082029
"ENSMUSG00000034377.10"	2	662.156682193644	9.37320596194998
"ENSMUSG00000034636.9"	1	2500.61523510776	11.2886441952335
"ENSMUSG00000034994.10"	1	75158.6784682856	16.1976712744979
"ENSMUSG00000035202.8"	5	7230.49130026746	12.8200774795067
"ENSMUSG00000036019.8"	4	6.49173217836906	2.90529932565609
"ENSMUSG00000036305.7"	1	325.884955354127	8.3526391694022
"ENSMUSG00000036529.17"	1	5131.0651137829	12.3253237595978
"ENSMUSG00000037742.14"	1	230969.339174193	17.8173480694816
"ENSMUSG00000037933.16"	1	1287.95966418842	10.331991402368
"ENSMUSG00000037965.14"	1	2825.20184402621	11.4646487896039
"ENSMUSG00000037999.13"	1	2009.84028242306	10.9735827800761
"ENSMUSG00000038240.13"	1	96.077636239862	6.60106707537326
"ENSMUSG00000038374.10"	1	1037.37880210338	10.020117121636
"ENSMUSG00000038518.15"	3	1426.88273280552	10.4796617852148
"ENSMUSG00000038766.16"	1	4414.37788129096	12.1083211979912
"ENSMUSG00000039001.12"	1	14348.0264606313	13.8086652371428
"ENSMUSG00000039145.16"	5	1216.55061022636	10.2497660270765
"ENSMUSG00000039202.12"	1	2765.47790798522	11.4338346876883
"ENSMUSG00000040407.18"	1	2214.97901925952	11.1137285067741
"ENSMUSG00000040481.17"	1	4916.83795189672	12.2638084820103
"ENSMUSG00000040699.13"	1	12802.9942021795	13.644306308274
"ENSMUSG00000040940.18"	1	21469.4566603021	14.3900652561
"ENSMUSG00000041297.8"	1	2929.06955888012	11.5167191988182
"ENSMUSG00000041308.6"	1	677.73683942173	9.40670850938037
"ENSMUSG00000042349.13"	1	4883.0809445692	12.253871395176
"ENSMUSG00000042351.9"	1	11690.311306807	13.5131491323215
"ENSMUSG00000042524.14"	1	9366.27118695087	13.1934131171329
"ENSMUSG00000042613.9"	3	3060.20254888317	11.579882790684
"ENSMUSG00000043192.4"	1	119.447872081991	6.91226509589675
"ENSMUSG00000043483.4"	1	358.343616245972	8.48922024652525
"ENSMUSG00000043618.9"	1	16.8785036637595	4.16015409051322
"ENSMUSG00000044066.14"	1	1561.9107621156	10.6100196914522
"ENSMUSG00000044609.6"	1	96.077636239862	6.60106707537326
"ENSMUSG00000044783.16"	67	1990.36508588795	10.9595420257181
"ENSMUSG00000044950.7"	5	737.460775462725	9.52837748172174
"ENSMUSG00000045690.8"	1	179.171808122986	7.49322947693597
"ENSMUSG00000045694.4"	1	10.3867714853905	3.50928684963606
"ENSMUSG00000045699.4"	1	10.3867714853905	3.50928684963606
