"","Naive_Control_Rep_1","Naive_Control_Rep_2","Naive_Control_Rep_3","Naive_DEX_Rep_1","Naive_DEX_Rep_2","Naive_DEX_Rep_3"
"ENSMUSG00000000001.4",3750.97443585,2802.23038391456,3071.95696287917,3680.12951805726,3631.57544983262,3238.07601057049
"ENSMUSG00000000028.15",38.4353298529172,88.5090645694112,70.5365449233368,95.6246671787455,70.1434033677582,76.6024397047549
"ENSMUSG00000000037.17",1.56878897358846,0,3.61725871401727,0,6.61730220450549,6.49173217836906
"ENSMUSG00000000056.7",701.24867119404,602.863628482216,623.072813489476,816.123397109689,700.110573236681,794.588018632373
"ENSMUSG00000000078.7",3035.60666389366,2503.30354319901,2077.21081652442,2786.37025254503,2600.59976637066,3096.55624908204
"ENSMUSG00000000085.16",281.597620759128,277.217070160797,292.997955835399,313.383810259057,341.452793752484,270.056058620153
"ENSMUSG00000000088.7",609.474516239116,530.219396241284,606.795149276398,633.395072698819,469.82845651989,599.836053281301
"ENSMUSG00000000093.6",2.35318346038269,5.00994705109875,1.80862935700864,3.7871155318315,1.3234604409011,5.19338574269525
"ENSMUSG00000000127.15",0.784394486794229,10.0198941021975,3.61725871401727,6.62745218070513,7.94076264540659,0
"ENSMUSG00000000131.15",3197.19192817328,3135.39186281263,3123.50289955392,3239.87733748185,3389.38218914771,3205.61734967864
"ENSMUSG00000000134.17",471.421086563331,568.628990299708,463.913430072715,508.420260148379,545.265701651253,593.344321102932
"ENSMUSG00000000142.15",596.924204450408,618.728460810695,567.005303422208,606.885263975999,682.905587504967,637.488099915841
"ENSMUSG00000000148.17",659.675763393946,665.48796662095,636.63753366704,561.439877594021,667.024062214154,632.294714173146
"ENSMUSG00000000149.10",280.813226272334,253.002326080487,273.103032908304,311.490252493141,296.455138761846,262.26598000611
"ENSMUSG00000000157.16",0,0,8.13883210653887,0.946778882957876,10.5876835272088,3.89503930702143
"ENSMUSG00000000167.14",2.35318346038269,3.3399647007325,8.13883210653887,5.68067329774726,11.9111439681099,10.3867714853905
"ENSMUSG00000000168.9",680.070020050596,603.698619657399,573.335506171738,596.470696263462,653.789457805143,572.570778132151
"ENSMUSG00000000171.5",1381.31869124464,1041.23399545336,1119.54157198835,1337.79856161948,1183.17363416558,1124.36801329352
"ENSMUSG00000000184.12",8516.17094312494,6967.16636572799,7306.86260231489,9323.87843936916,10202.5565389066,8911.84993446504
"ENSMUSG00000000194.13",681.638809024185,680.517807774246,666.479918057683,646.649977060229,715.992098527494,719.283925363291
"ENSMUSG00000000202.9",2.35318346038269,3.3399647007325,0.904314678504319,0.946778882957876,1.3234604409011,0
"ENSMUSG00000000204.16",2.35318346038269,9.18490292701436,19.894922927095,7.57423106366301,33.0865110225275,23.3702358421286
"ENSMUSG00000000244.17",998.534181689053,963.579816161325,951.339041786543,763.103779664048,872.160430553824,741.355814769746
"ENSMUSG00000000248.16",0,0.834991175183124,6.33020274953023,1.89355776591575,0,3.89503930702143
"ENSMUSG00000000275.16",2410.44425791866,2531.69324315523,2707.51814744193,2372.62788069244,2710.44698296545,2574.62098194117
"ENSMUSG00000000276.11",514.562783337014,616.223487285146,477.47815025028,436.465065043581,449.976549906374,506.355109912786
"ENSMUSG00000000278.10",88.6365770077478,95.1889939708762,114.847964170048,120.24091813565,104.553374831187,98.6743291112097
"ENSMUSG00000000282.12",803.21995447729,764.851916467742,761.432959300636,739.434307590101,733.197084259209,795.886365068046
"ENSMUSG00000000290.13",7682.35960366267,7677.74385580883,7646.88492143252,7418.95932685792,8098.25443787382,6879.93776263553
"ENSMUSG00000000295.13",372.587381227259,315.626664219221,367.151759472753,329.479051269341,277.926692589231,298.619680204977
"ENSMUSG00000000301.16",53.3388251020075,28.3896999562262,42.502789889703,42.6050497331044,38.3803527861319,27.26527514915
"ENSMUSG00000000303.12",8.62833935473651,8.34991175183124,18.0862935700864,13.2549043614103,14.5580648499121,9.08842504971668
"ENSMUSG00000000320.10",3.92197243397114,32.5646558321418,10.8517761420518,4.73389441478938,9.26422308630769,1.29834643567381
"ENSMUSG00000000325.16",18.0410731962673,10.8548852773806,18.9906082485907,7.57423106366301,22.4988274953187,28.5636215848238
"ENSMUSG00000000326.13",190.607860290998,187.873014416203,197.140599913941,179.887987761996,133.669504531011,180.47015455866
"ENSMUSG00000000339.14",468.283508616154,387.43590528497,396.994143863396,402.381025257097,424.830801529253,357.045269810298
"ENSMUSG00000000340.10",474.558664510508,454.23519929962,437.68830439609,433.624728394707,419.536959765648,421.962591593989
"ENSMUSG00000000346.9",6835.21355792491,5166.92539203317,5819.26495617529,6380.34289225313,5671.02798926121,5789.32675666952
"ENSMUSG00000000355.13",860.480752013269,945.210010307297,723.451742803455,889.025371097446,737.167465581912,743.952507641094
"ENSMUSG00000000365.9",1.56878897358846,7.51492057664812,3.61725871401727,2.84033664887363,5.2938417636044,2.59669287134762
"ENSMUSG00000000374.8",1747.63091657754,1534.71377998658,1417.06110121627,1573.54650347599,1611.97481701754,1694.34209855432
"ENSMUSG00000000378.15",3083.45472758811,2549.22805783408,2797.94961529236,3002.23583785943,3111.45549655848,2938.15798392984
"ENSMUSG00000000384.15",1152.27550110072,1129.74306002277,1122.25451602386,1120.98619742213,1179.20325284288,1084.11927378763
"ENSMUSG00000000386.16",297.285510495013,402.465746438266,356.299983330702,106.98601377424,279.250153030132,297.321333769303
"ENSMUSG00000000392.17",2.35318346038269,6.67992940146499,2.71294403551296,1.89355776591575,7.94076264540659,5.19338574269525
"ENSMUSG00000000399.10",896.562898405803,706.402534204923,933.252748216457,879.557582267867,776.871278808945,807.571482989111
"ENSMUSG00000000409.14",12592.6690909945,11529.5581469286,12594.3905275296,12019.3579191502,12055.4011561681,11942.1905153277
"ENSMUSG00000000420.15",2844.21440911587,2224.41649068784,2364.78288428879,2914.18540174434,2609.86398945697,2573.32263550549
"ENSMUSG00000000439.9",462.008352721801,466.760066927366,410.558864040961,413.742371852592,395.714671829429,393.398970009165
"ENSMUSG00000000441.17",1055.79497922503,1276.701506855,1115.92431327433,1109.62485082663,1172.58595063837,1151.63328844267
"ENSMUSG00000000486.13",9896.70523988278,9253.37220337938,9663.50665449715,8655.4525480009,9462.74215244286,8669.05915099404
"ENSMUSG00000000489.7",7.05955038114806,36.7396117080575,26.2251256766252,7.57423106366301,5.2938417636044,9.08842504971668
"ENSMUSG00000000530.16",236.102740525063,150.298411532962,282.146179693347,264.151308345247,281.897073911934,249.282515649372
"ENSMUSG00000000531.5",135.700246215402,94.354002795693,114.847964170048,103.198898242409,107.200295712989,75.3040932690811
"ENSMUSG00000000532.11",965.589613243695,822.466307555377,860.907573936111,871.036572321246,845.691221735802,697.212035956837
"ENSMUSG00000000538.18",400.825582751851,554.434140321594,449.444395216646,393.860015310477,467.181535638088,501.161724170091
"ENSMUSG00000000552.10",8.62833935473651,13.35985880293,11.7560908205561,9.46778882957876,21.1753670544176,15.5801572280857
"ENSMUSG00000000555.8",65.104742403921,95.1889939708762,97.6659852784664,89.9439938809982,84.7014682176703,93.4809433685144
"ENSMUSG00000000561.14",543.5853793484,647.953151942104,582.378652956781,591.736801848673,562.470687382967,640.084792787189
"ENSMUSG00000000562.5",0,0,3.61725871401727,0.946778882957876,5.2938417636044,1.29834643567381
"ENSMUSG00000000563.17",3315.6354956792,2589.30763424287,2649.64200801765,3024.01175216746,2844.11648749646,2597.9912177833
"ENSMUSG00000000568.15",4023.94371725439,3732.41055306856,3800.83459375365,3352.54402455384,3152.48277022642,3280.92144294772
"ENSMUSG00000000579.14",9.41273384153074,10.8548852773806,18.0862935700864,21.7759143080312,29.1161296998242,19.4751965351072
"ENSMUSG00000000581.8",537.310223454047,465.090084577,428.645157611047,464.868431532317,488.356902692506,458.316291792855
"ENSMUSG00000000594.7",2157.08483868413,1821.95074424958,1905.3910276086,1922.90791128745,1940.19300636101,1833.26516717142
"ENSMUSG00000000600.15",944.410962100251,1839.48555892842,1185.55654351916,1161.69768938931,1261.25780017875,1491.80005458921
"ENSMUSG00000000605.9",1749.19970555113,1646.60259746112,1524.67454795828,1751.54093347207,1692.70590391251,1478.81659023247
"ENSMUSG00000000617.14",10.9815228151192,12.5248676277469,10.8517761420518,11.3613465954945,27.7926692589231,12.9834643567381
"ENSMUSG00000000627.15",617.318461107058,672.167896022415,593.230429098833,640.969303762482,719.962479850198,592.045974667258
"ENSMUSG00000000628.10",30.5913849849749,30.0596823065925,35.2682724616684,21.7759143080312,22.4988274953187,46.7404716842572
"ENSMUSG00000000631.20",891.856531485038,733.957242985966,702.652505197856,693.042142325165,700.110573236681,746.549200512442
"ENSMUSG00000000673.9",723.211716824279,1185.68746876004,1018.25832799586,645.703198177272,860.249286585714,797.18471150372
"ENSMUSG00000000682.7",12658.5582278853,10273.7314194532,11878.1733021542,11541.2345832565,11574.985016121,11568.2667418537
"ENSMUSG00000000686.11",109.030833664398,93.5190116205099,103.091873349492,70.0616373388828,104.553374831187,84.3925183187977
"ENSMUSG00000000693.10",1.56878897358846,18.3698058540287,3.61725871401727,1.89355776591575,7.94076264540659,5.19338574269525
"ENSMUSG00000000708.14",873.815458288771,987.794560241636,1115.92431327433,1197.67528694171,1004.50647464393,1147.73824913565
"ENSMUSG00000000711.3",993.827814768288,841.671104584589,937.774321608978,1075.54081104015,898.629639371846,950.38959091323
"ENSMUSG00000000732.9",229.827584630709,222.942643773894,204.375117341976,204.504238718901,186.607922167055,199.945351093767
"ENSMUSG00000000738.18",1130.31245547048,1244.97184219804,1139.43649491544,940.151430777171,1023.03492081655,1014.00856626125
"ENSMUSG00000000740.12",30093.2944858606,23888.262530814,27278.6522770828,27716.9517985918,26129.0794847104,26091.5699713009
"ENSMUSG00000000743.9",1707.62679775104,1521.35392118365,1720.91083319372,1431.52967103231,1570.9475433496,1468.42981874708
"ENSMUSG00000000751.13",4042.76918493745,3101.99221580531,3562.99983330702,3801.31721507587,3725.54114113659,3586.03285533107
"ENSMUSG00000000753.15",2.35318346038269,0,2.71294403551296,2.84033664887363,2.6469208818022,6.49173217836906
"ENSMUSG00000000759.14",1176.59173019134,1700.87702384802,1344.71592693592,1229.86576896228,1425.36689485048,1438.56785072658
"ENSMUSG00000000766.18",0.784394486794229,18.3698058540287,4.52157339252159,14.2016832443681,1.3234604409011,9.08842504971668
"ENSMUSG00000000776.13",380.431326095201,355.706240628011,400.611402577413,356.935638875119,362.628160806901,302.514719511998
"ENSMUSG00000000782.16",30443.9188214576,26158.6035361369,25768.4467639806,27691.388768752,25173.5410463798,27339.2808959834
